✅ Completed 900 requests for Chapter 7 in 96.81s
🚀 Throughput: 9.30 requests/sec

#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        93982045                    49650892                    0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        93982045                    49650892                    0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        24140247                    400308                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        687302                      351596                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        755267                      359511                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        762303                      346195                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        850508                      386073                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        732580                      328092                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        22095714                    14028640                    0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        22095714                    14028640                    0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        6342355                     3549325                     0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        866468                      397458                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        655728                      364806                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        644949                      349141                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        618591                      338558                      0                           0                           0                 0                 
#Entity   GRACT        SMACT        SMOCC        TENSO        DRAMA        FP32A        FP16A        PCITX                       PCIRX                       NVLTX                       NVLRX                       GPUTL             MCUTL             
ID                                                                                                                                                                                                                                                       
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        638186                      344034                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        638186                      344034                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        645499                      351728                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        650981                      353746                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        630056                      351406                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        635405                      351367                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        923761                      378126                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        644279                      346667                      0                           0                           0                 0                 
GPU 0     0.000        0.000        0.000        0.000        0.000        0.000        0.000        644279                      346667                      0                           0                           0                 0                 
